               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  38,              2.1898,              1.7559,              2.1584,             0.60612,             0.21262,             0.21809,            0.087459,                   0,                   0,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,              2.2225,              1.7326,              2.1908,             0.75709,             0.12723,             0.15947,            0.058242,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,               2.138,              1.7023,              2.1127,             0.77245,             0.21573,             0.26939,             0.11762,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,               2.175,              1.7337,              2.1484,             0.58462,             0.31135,             0.33893,              0.1662,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              2.1862,              1.7183,              2.1255,          0.00085547,            0.026455,          0.00053268,          0.00012094,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              2.1598,              1.6355,              2.0642,             0.65602,             0.06651,            0.048211,            0.015701,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              2.1739,              1.6945,              2.1097,            0.010729,            0.038183,            0.007304,           0.0013828,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,               2.095,              1.6651,              2.0603,             0.21799,            0.042278,            0.061914,            0.022568,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              2.1604,              1.6394,              2.0485,             0.70605,              0.3389,             0.36486,             0.18292,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              2.0916,               1.609,              2.0151,             0.59734,             0.12644,             0.17925,            0.064852,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              2.1174,              1.6068,              2.0397,              0.6769,             0.33319,             0.36878,             0.18774,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              2.0401,              1.5417,              1.9887,             0.21546,            0.077573,             0.06415,            0.021862,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              2.0862,              1.5908,              1.9799,             0.78702,             0.28686,             0.31521,             0.15188,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              2.0083,              1.5187,              1.9099,             0.11538,             0.02866,           0.0068322,           0.0011229,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              2.0242,              1.5025,              1.9023,             0.70917,            0.086964,             0.10472,            0.039001,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.9946,              1.4633,              1.8505,             0.43693,             0.10349,              0.1795,            0.054933,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.9953,              1.4594,              1.8589,             0.57448,             0.41281,             0.44243,             0.22098,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              2.0099,              1.5121,              1.9051,             0.55295,             0.30052,             0.34312,             0.15442,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              1.9835,              1.4534,              1.8608,             0.77181,             0.36256,             0.42494,             0.20566,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              2.0168,              1.4461,              1.8499,             0.19478,              0.2083,             0.16065,            0.066217,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              2.0023,              1.4365,              1.8537,             0.23731,            0.076297,             0.14243,            0.050458,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              1.9625,              1.4416,              1.8259,             0.65248,             0.10801,             0.17724,            0.079147,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              1.9502,              1.4346,              1.8301,             0.56239,              0.3458,             0.38346,             0.18787,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              1.9414,               1.445,                1.82,              0.7543,             0.46648,             0.50484,             0.25004,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              1.9129,              1.4125,              1.7824,            0.018686,            0.070271,            0.016909,           0.0057005,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              1.9163,               1.389,              1.7845,             0.54656,             0.23012,             0.26108,             0.10976,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              1.8827,              1.3561,              1.7625,             0.61931,             0.42368,             0.45403,             0.22286,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              1.9266,              1.3855,               1.803,             0.66437,             0.49569,              0.5138,               0.254,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              1.8788,              1.3544,              1.7854,           0.0058209,            0.017703,           0.0031954,          0.00075238,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              1.9315,              1.4088,              1.8085,             0.65094,             0.49477,              0.5372,             0.26137,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              1.8451,               1.329,               1.759,             0.29092,             0.12508,             0.16667,            0.061649,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              1.8891,              1.3611,              1.7606,             0.77939,             0.49476,             0.53958,             0.26232,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              1.8852,              1.3409,              1.7634,             0.65016,             0.51152,             0.56126,             0.27782,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
