                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5659,                 1.0691,                 1.5161,                0.50986,                0.29333,                0.29171,                0.13687,                 2.1636,                 2.2349,                  2.411,             0.00074388,             0.00074388,             0.00074388
                     35,                 1.5439,                 1.0481,                 1.4935,                0.79692,                0.55593,                0.61892,                0.28931,                 1.6741,                 1.1663,                 1.6089,             0.00074312,             0.00074312,             0.00074312
                     36,                 1.5224,                 1.0398,                 1.4729,                0.85945,                0.59902,                0.68181,                0.32753,                 1.6335,                 1.0513,                   1.57,             0.00074235,             0.00074235,             0.00074235
                     37,                 1.5232,                 1.0478,                 1.4779,                0.87013,                0.62207,                0.66202,                0.31312,                 1.6079,                 1.0474,                  1.543,             0.00074159,             0.00074159,             0.00074159
                     38,                 1.5057,                 1.0222,                 1.4728,                0.81076,                0.58648,                0.64447,                0.30326,                 1.6547,                 1.1111,                 1.5762,             0.00074083,             0.00074083,             0.00074083
                     39,                 1.4972,                 1.0107,                 1.4603,                0.86998,                0.60278,                0.67907,                 0.3096,                 1.6158,                  1.073,                 1.5397,             0.00074007,             0.00074007,             0.00074007
                     40,                 1.4866,                0.99734,                 1.4455,                0.61541,                0.19427,                0.21963,                 0.1022,                 2.4134,                 2.6191,                 2.3292,             0.00073931,             0.00073931,             0.00073931
                     41,                  1.514,                 1.0062,                 1.4624,                0.70527,                 0.6004,                 0.6759,                0.30507,                 1.6485,                 1.0055,                 1.5378,             0.00073855,             0.00073855,             0.00073855
                     42,                 1.4915,                0.99513,                 1.4349,                0.87169,                0.58433,                0.67473,                 0.3077,                 1.6571,                 1.0852,                 1.5458,             0.00073779,             0.00073779,             0.00073779
                     43,                 1.4491,                0.94522,                 1.4214,                0.82843,                0.60717,                0.68653,                0.30929,                 1.6972,                 1.1441,                 1.5732,             0.00073702,             0.00073702,             0.00073702
                     44,                 1.4397,                0.94632,                 1.4003,                0.90973,                0.63917,                 0.7058,                0.33841,                 1.5593,                0.95708,                 1.4693,             0.00073626,             0.00073626,             0.00073626
                     45,                 1.4511,                0.93228,                    1.4,                0.48752,                0.25964,                0.32097,                0.14625,                 2.2877,                  2.387,                 2.3867,              0.0007355,              0.0007355,              0.0007355
                     46,                 1.4929,                0.95394,                 1.4416,                0.59968,                0.46139,                0.48172,                0.21154,                 1.8493,                 1.7683,                 1.8632,             0.00073474,             0.00073474,             0.00073474
                     47,                 1.4394,                0.94718,                 1.4095,                0.88323,                0.66364,                0.73017,                 0.3472,                 1.5111,                0.94652,                   1.45,             0.00073398,             0.00073398,             0.00073398
                     48,                 1.4095,                0.90032,                 1.3803,                0.88842,                0.64375,                0.72016,                0.34919,                 1.5174,                 0.9637,                 1.4414,             0.00073322,             0.00073322,             0.00073322
                     49,                 1.4021,                0.90568,                 1.3684,                0.63672,                0.45014,                0.46466,                0.20825,                 1.9473,                 1.6989,                 2.0042,             0.00073246,             0.00073246,             0.00073246
                     50,                 1.3981,                0.89984,                 1.3658,                0.91246,                0.65856,                0.75968,                 0.3618,                 1.5666,                0.90912,                 1.4674,              0.0007317,              0.0007317,              0.0007317
                     51,                 1.4046,                0.89712,                 1.3609,                 0.8378,                0.65654,                0.76229,                0.37332,                 1.4614,                0.95543,                 1.4068,             0.00073093,             0.00073093,             0.00073093
                     52,                 1.3722,                0.87349,                  1.353,                0.91021,                0.66258,                0.78213,                0.38154,                 1.4714,                0.88962,                 1.4148,             0.00073017,             0.00073017,             0.00073017
                     53,                  1.378,                0.86921,                 1.3447,                0.78416,                0.65393,                0.73716,                 0.3587,                  1.499,                0.93125,                 1.4579,             0.00072941,             0.00072941,             0.00072941
                     54,                 1.3319,                0.85522,                  1.324,                0.75999,                0.64904,                0.71681,                0.34799,                 1.4998,                0.95142,                 1.4582,             0.00072865,             0.00072865,             0.00072865
                     55,                 1.3714,                0.85905,                 1.3393,                0.92463,                0.69572,                0.77798,                0.39365,                 1.4809,                0.86943,                 1.4027,             0.00072789,             0.00072789,             0.00072789
                     56,                 1.3201,                0.83877,                 1.3067,                 0.8142,                0.74261,                0.78312,                0.39102,                 1.4634,                0.90161,                 1.4213,             0.00072713,             0.00072713,             0.00072713
