                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    242,                0.66085,                0.34435,                0.88885,                0.81629,                 0.2918,                0.89544,                0.81589,                0.86011,                0.85095,                0.46852,                 1.4148,                0.58403,                 1.2947,                 1.5283,                0.60856,                 1.2897,             0.00054435,             0.00054435,             0.00054435
                    243,                0.70185,                0.37537,                0.87735,                 0.9191,                0.35197,                0.88259,                0.85608,                0.86743,                0.87871,                0.47201,                 1.3698,                0.57443,                 1.2559,                 1.4815,                0.56617,                 1.2495,             0.00054365,             0.00054365,             0.00054365
                    244,                0.72325,                0.36997,                 0.8812,                0.92319,                0.31979,                0.88648,                0.87231,                0.90802,                0.87679,                0.48279,                 1.3868,                0.55148,                 1.2713,                 1.4938,                 0.5894,                 1.2526,             0.00054294,             0.00054294,             0.00054294
                    245,                0.70315,                0.36946,                0.88939,                0.90219,                0.32106,                0.89282,                0.85918,                0.85333,                0.87373,                0.49051,                   1.36,                0.54482,                 1.2569,                 1.4702,                0.56283,                 1.2416,             0.00054223,             0.00054223,             0.00054223
                    246,                0.70571,                0.36606,                 0.8885,                0.91132,                0.31969,                0.89269,                0.85236,                0.83054,                0.84989,                 0.4804,                 1.3751,                0.55242,                 1.2606,                 1.4771,                0.57081,                 1.2465,             0.00054153,             0.00054153,             0.00054153
                    247,                0.68548,                0.35993,                0.88672,                0.88358,                0.31312,                0.89048,                0.79387,                0.91187,                0.85989,                0.47471,                 1.3727,                0.53386,                 1.2632,                 1.4746,                0.54176,                 1.2496,             0.00054082,             0.00054082,             0.00054082
                    248,                0.71196,                0.36864,                0.90331,                0.89389,                0.32771,                0.90425,                0.81582,                0.89351,                0.86228,                0.46441,                 1.3815,                0.54839,                 1.2565,                 1.4844,                0.56096,                 1.2542,             0.00054011,             0.00054011,             0.00054011
                    249,                0.68453,                0.35981,                0.87184,                0.88289,                0.31345,                0.87558,                0.82981,                0.87041,                0.85901,                0.47272,                 1.3587,                 0.5691,                 1.2617,                  1.474,                0.59641,                 1.2584,             0.00053941,             0.00053941,             0.00053941
                    250,                0.69928,                0.36219,                0.89975,                0.86124,                 0.2987,                0.90537,                0.85567,                0.87798,                0.85761,                0.47491,                 1.4063,                0.57532,                 1.2935,                 1.5049,                0.58463,                 1.2875,              0.0005387,              0.0005387,              0.0005387
                    251,                0.66581,                0.35527,                0.89281,                0.85357,                0.29225,                0.88992,                0.84595,                0.86974,                 0.8623,                0.47906,                 1.4185,                0.58357,                 1.3127,                 1.5184,                0.60204,                  1.303,             0.00053799,             0.00053799,             0.00053799
                    252,                0.71162,                0.36387,                0.88662,                0.91602,                0.31251,                0.89178,                0.84678,                0.85345,                0.86764,                0.46573,                 1.4034,                0.57203,                 1.3097,                  1.503,                0.57369,                  1.291,             0.00053728,             0.00053728,             0.00053728
                    253,                 0.6766,                0.35916,                0.87054,                0.88455,                0.30884,                0.87471,                 0.8436,                0.88379,                0.86579,                0.47816,                 1.3994,                 0.5754,                 1.3016,                 1.5083,                 0.5811,                 1.2904,             0.00053658,             0.00053658,             0.00053658
                    254,                 0.6729,                0.35191,                0.88494,                0.85838,                0.29418,                0.88541,                0.81202,                 0.9056,                0.87218,                0.48807,                 1.4025,                0.58062,                 1.3191,                 1.5019,                 0.5779,                 1.3074,             0.00053587,             0.00053587,             0.00053587
                    255,                0.67172,                0.34216,                0.87161,                0.88317,                0.28839,                0.87218,                0.81446,                0.91254,                0.87955,                0.47983,                 1.3988,                0.60122,                 1.2902,                 1.5129,                0.61086,                 1.2796,             0.00053516,             0.00053516,             0.00053516
                    256,                0.64434,                0.33654,                0.85689,                0.85934,                0.29537,                0.85832,                0.89228,                0.84716,                0.88086,                0.47641,                 1.4105,                0.60252,                 1.2878,                 1.5197,                0.60312,                 1.2837,             0.00053446,             0.00053446,             0.00053446
                    257,                0.66439,                0.34141,                0.89139,                0.81293,                0.28313,                0.89185,                0.81113,                0.88115,                0.86476,                 0.4799,                 1.4058,                0.57729,                 1.3157,                 1.5034,                0.58801,                 1.2965,             0.00053375,             0.00053375,             0.00053375
                    258,                0.68989,                0.36249,                0.89883,                0.87405,                0.31351,                0.90066,                0.83366,                0.87107,                0.85377,                0.47252,                 1.3994,                0.59835,                 1.3072,                 1.4934,                0.63037,                 1.2909,             0.00053304,             0.00053304,             0.00053304
                    259,                0.67042,                 0.3495,                0.89245,                0.87971,                0.30833,                0.89177,                0.85706,                0.84208,                0.83944,                0.45852,                 1.4114,                0.61641,                 1.3091,                 1.5212,                0.65103,                 1.3009,             0.00053234,             0.00053234,             0.00053234
                    260,                0.71891,                0.37248,                0.89064,                0.92439,                  0.322,                 0.8928,                0.86619,                0.81786,                0.85871,                0.47456,                 1.3739,                 0.6208,                 1.2721,                 1.4811,                0.62691,                  1.271,             0.00053163,             0.00053163,             0.00053163
                    261,                0.68277,                0.35889,                0.90211,                0.86213,                0.31744,                0.90783,                0.85255,                 0.8225,                0.86536,                0.47404,                 1.3832,                0.59604,                 1.2926,                 1.4747,                0.62102,                 1.2773,             0.00053092,             0.00053092,             0.00053092
                    262,                0.63604,                0.33486,                0.86087,                0.83504,                0.28738,                0.86219,                0.81385,                0.89965,                0.86357,                0.48174,                 1.3869,                0.57863,                 1.3048,                 1.4878,                0.57925,                  1.296,             0.00053022,             0.00053022,             0.00053022
                    263,                0.64801,                0.33525,                0.87961,                0.82162,                0.27893,                0.88385,                0.83708,                0.91299,                0.87843,                0.48935,                 1.3934,                0.57587,                 1.2978,                 1.5019,                0.55733,                 1.2891,             0.00052951,             0.00052951,             0.00052951
                    264,                0.65637,                0.34024,                0.86899,                0.85159,                0.29532,                0.87027,                0.83411,                0.91795,                 0.8949,                 0.4996,                 1.3784,                0.56734,                 1.2918,                 1.4819,                0.56197,                 1.2736,              0.0005288,              0.0005288,              0.0005288
                    265,                0.64369,                 0.3388,                0.87355,                0.83334,                0.29774,                0.86945,                0.86292,                0.86248,                0.87569,                0.47295,                 1.3833,                0.57983,                 1.2966,                 1.4768,                0.57254,                 1.2776,              0.0005281,              0.0005281,              0.0005281
                    266,                0.64141,                0.33776,                0.86488,                0.84501,                 0.2813,                0.86943,                0.84672,                0.86984,                0.85595,                0.46633,                  1.405,                 0.5734,                 1.2902,                 1.5114,                0.59727,                 1.2818,             0.00052739,             0.00052739,             0.00052739
                    267,                0.65977,                0.34245,                0.87405,                0.82052,                0.28262,                0.87556,                0.85739,                0.84209,                0.84904,                0.46019,                 1.3702,                0.57091,                 1.2773,                 1.4743,                0.59338,                 1.2668,             0.00052668,             0.00052668,             0.00052668
                    268,                0.64774,                0.33872,                0.87947,                0.81695,                0.28783,                0.88605,                0.85316,                0.85876,                0.85676,                 0.4722,                 1.3757,                0.58802,                 1.2988,                 1.4831,                0.61756,                 1.2857,             0.00052598,             0.00052598,             0.00052598
                    269,                0.68982,                0.33895,                0.89046,                0.83604,                0.29214,                0.89464,                0.85436,                0.82335,                0.84783,                0.47162,                 1.4117,                0.60774,                 1.3213,                 1.5134,                0.65459,                 1.3049,             0.00052527,             0.00052527,             0.00052527
                    270,                0.62782,                0.33692,                0.86844,                0.83113,                0.29729,                0.87932,                0.81035,                0.87155,                0.85618,                0.47094,                 1.3982,                0.59538,                 1.3042,                 1.5004,                  0.625,                 1.2841,             0.00052456,             0.00052456,             0.00052456
                    271,                0.62985,                0.33073,                0.85566,                0.82737,                0.28847,                 0.8632,                0.83161,                0.84576,                0.84047,                0.46502,                 1.3888,                0.59601,                 1.3033,                  1.487,                0.64331,                 1.2823,             0.00052385,             0.00052385,             0.00052385
                    272,                0.64406,                0.34038,                0.85998,                0.86595,                0.29495,                0.86182,                0.83863,                0.89607,                0.85548,                0.46235,                 1.3844,                0.57576,                 1.2915,                 1.4906,                0.59876,                 1.2706,             0.00052315,             0.00052315,             0.00052315
                    273,                0.60748,                0.31448,                0.85469,                0.78728,                0.25776,                0.86064,                0.79541,                0.83941,                0.83365,                0.45406,                 1.3762,                0.58469,                 1.2911,                 1.4896,                0.61197,                 1.2837,             0.00052244,             0.00052244,             0.00052244
                    274,                0.62907,                0.34633,                0.88543,                 0.8306,                  0.311,                0.88988,                0.80577,                0.85173,                  0.829,                0.45898,                 1.3766,                0.57439,                 1.2783,                 1.4812,                0.59582,                 1.2684,             0.00052173,             0.00052173,             0.00052173
                    275,                0.62094,                0.32893,                0.86932,                0.81899,                0.28186,                0.86957,                0.84531,                0.85779,                0.85505,                0.47366,                 1.3612,                 0.5634,                 1.2687,                 1.4653,                0.58539,                 1.2481,             0.00052103,             0.00052103,             0.00052103
                    276,                0.65328,                0.34652,                0.87911,                0.85668,                0.30637,                0.87979,                0.87202,                0.87951,                0.87286,                 0.4789,                 1.3823,                0.57536,                 1.3051,                 1.4803,                0.60002,                 1.2795,             0.00052032,             0.00052032,             0.00052032
                    277,                0.61564,                0.32003,                0.86274,                0.77976,                0.25832,                0.86991,                 0.8622,                0.82759,                0.85995,                0.46862,                 1.3831,                0.60448,                 1.3051,                 1.4823,                0.62973,                 1.2815,             0.00051961,             0.00051961,             0.00051961
                    278,                0.59008,                0.32141,                0.85433,                0.82365,                0.28788,                0.85392,                0.85725,                0.86034,                0.87237,                0.47304,                 1.3834,                0.57778,                  1.296,                 1.4823,                0.61349,                 1.2725,             0.00051891,             0.00051891,             0.00051891
                    279,                0.65293,                0.34212,                0.88143,                0.83134,                0.29934,                0.88214,                0.81885,                0.84211,                0.84843,                0.47003,                  1.382,                0.59035,                 1.2999,                 1.4783,                0.62743,                 1.2761,              0.0005182,              0.0005182,              0.0005182
                    280,                0.57621,                0.30883,                0.85451,                0.74129,                0.25478,                 0.8568,                0.81782,                 0.8549,                0.84429,                 0.4659,                 1.3812,                0.57454,                 1.3005,                 1.4859,                0.60036,                 1.2806,             0.00051749,             0.00051749,             0.00051749
                    281,                0.60518,                0.33185,                0.86079,                0.81052,                0.29503,                0.86371,                0.82979,                 0.8664,                0.84794,                0.45834,                 1.3892,                0.58392,                  1.292,                 1.4874,                0.61051,                 1.2668,             0.00051679,             0.00051679,             0.00051679
                    282,                0.58851,                0.32632,                0.86161,                0.76879,                0.28057,                0.86282,                0.80669,                0.88165,                0.85383,                0.46788,                 1.3705,                0.57511,                 1.2802,                 1.4715,                0.65387,                 1.2541,             0.00051608,             0.00051608,             0.00051608
                    283,                0.59432,                0.31787,                0.87237,                0.75823,                0.25998,                0.87365,                0.81511,                0.88051,                 0.8559,                0.46707,                 1.3813,                0.57714,                 1.2935,                 1.4767,                 0.6368,                 1.2682,             0.00051537,             0.00051537,             0.00051537
                    284,                0.61853,                0.32314,                0.88683,                0.76967,                 0.2627,                0.89359,                0.85035,                0.86924,                0.85521,                0.45619,                 1.3756,                0.60986,                 1.2872,                 1.4883,                0.62935,                 1.2685,             0.00051467,             0.00051467,             0.00051467
                    285,                0.61722,                0.32349,                0.89148,                0.76221,                0.25854,                0.89556,                0.82811,                0.86193,                0.84429,                0.45865,                 1.3797,                0.59145,                 1.2902,                 1.4848,                0.62805,                 1.2725,             0.00051396,             0.00051396,             0.00051396
                    286,                0.63795,                0.34146,                0.86461,                0.82405,                0.29821,                0.86911,                0.85754,                0.82553,                0.84801,                0.46809,                 1.3819,                  0.613,                  1.295,                 1.5077,                0.58862,                 1.2904,             0.00051325,             0.00051325,             0.00051325
                    287,                0.61157,                0.33151,                0.87364,                  0.784,                0.27617,                0.88101,                0.81645,                0.86319,                0.83986,                0.45944,                   1.38,                0.59739,                 1.2999,                 1.5047,                0.62888,                 1.3004,             0.00051254,             0.00051254,             0.00051254
                    288,                0.65419,                0.33756,                0.88377,                0.83285,                0.28663,                0.88672,                0.84307,                0.83971,                0.84904,                0.46309,                  1.402,                0.60274,                 1.3177,                 1.5082,                0.62716,                 1.3035,             0.00051184,             0.00051184,             0.00051184
                    289,                0.63871,                0.33391,                0.90196,                0.80392,                0.28281,                0.90494,                  0.864,                0.88846,                0.86184,                0.49031,                 1.3656,                0.56039,                 1.2787,                 1.4781,                0.57961,                 1.2608,             0.00051113,             0.00051113,             0.00051113
                    290,                 0.6484,                0.34251,                0.88339,                 0.8153,                0.28995,                0.89105,                0.86508,                0.87672,                0.86728,                0.48222,                 1.3746,                0.57206,                 1.2707,                 1.4819,                0.59041,                 1.2487,             0.00051042,             0.00051042,             0.00051042
                    291,                 0.6266,                0.33106,                0.89883,                0.80647,                 0.2967,                0.90601,                0.82657,                0.91029,                0.86455,                 0.4837,                 1.3677,                0.58326,                  1.258,                 1.4611,                0.63473,                 1.2282,             0.00050972,             0.00050972,             0.00050972
                    292,                0.64999,                0.33171,                0.86788,                0.80449,                0.26517,                0.87186,                0.84501,                0.88661,                0.85151,                0.47596,                 1.4041,                0.57436,                 1.3117,                 1.5069,                0.63734,                 1.2792,             0.00050901,             0.00050901,             0.00050901
                    293,                0.61168,                0.32272,                0.86348,                0.82131,                0.27373,                0.86408,                0.84382,                0.87142,                0.87356,                0.47593,                 1.3963,                0.56286,                 1.3106,                 1.4951,                0.57519,                 1.2869,              0.0005083,              0.0005083,              0.0005083
                    294,                0.60869,                0.32943,                0.87877,                0.76589,                0.27784,                0.88305,                0.86507,                0.90772,                0.87242,                0.48325,                 1.3886,                 0.5711,                 1.3119,                 1.4892,                0.59745,                 1.2895,              0.0005076,              0.0005076,              0.0005076
                    295,                0.59904,                0.32102,                0.85973,                0.78471,                0.27153,                 0.8609,                0.84777,                0.88807,                0.87145,                0.48047,                 1.3784,                0.55957,                 1.2896,                 1.4781,                0.60086,                 1.2627,             0.00050689,             0.00050689,             0.00050689
                    296,                 0.6134,                0.31957,                0.85289,                0.79284,                0.26383,                0.85625,                0.84978,                0.90105,                0.86763,                0.47812,                 1.3734,                0.56944,                 1.2838,                 1.4784,                0.56496,                 1.2669,             0.00050618,             0.00050618,             0.00050618
                    297,                0.59604,                0.32194,                0.85154,                0.80506,                0.27997,                0.85087,                0.85254,                0.83202,                0.85066,                0.46948,                 1.3686,                0.56762,                 1.3047,                 1.4766,                0.57121,                 1.2901,             0.00050548,             0.00050548,             0.00050548
                    298,                0.60347,                0.33066,                0.87893,                0.79009,                0.28698,                0.87741,                0.83006,                0.85333,                0.83737,                 0.4615,                 1.3936,                0.59623,                 1.3207,                  1.488,                0.62838,                 1.2889,             0.00050477,             0.00050477,             0.00050477
                    299,                0.62277,                0.32824,                0.87541,                0.78884,                0.26772,                0.87757,                0.84904,                0.88943,                0.85997,                0.46048,                 1.3903,                0.59921,                 1.3202,                 1.4956,                0.66685,                 1.2955,             0.00050406,             0.00050406,             0.00050406
                    300,                0.63812,                0.34761,                0.87984,                0.83605,                0.31286,                0.88014,                0.88283,                0.85659,                0.85351,                0.45963,                 1.3816,                0.59894,                 1.3221,                 1.4832,                0.66157,                 1.2976,             0.00050336,             0.00050336,             0.00050336
                    301,                0.62084,                0.33465,                0.87849,                 0.8076,                0.29206,                0.88081,                0.85159,                0.90523,                0.87532,                0.48073,                 1.3721,                0.58639,                 1.3076,                 1.4712,                0.62866,                 1.2776,             0.00050265,             0.00050265,             0.00050265
                    302,                0.60913,                0.33575,                0.86961,                0.77738,                0.28948,                0.87372,                0.83911,                0.91846,                0.88957,                0.47848,                 1.3885,                0.59736,                 1.3124,                 1.4891,                 0.6356,                 1.2855,             0.00050194,             0.00050194,             0.00050194
                    303,                0.64577,                0.32982,                0.90495,                0.74458,                0.26346,                0.91096,                0.81337,                0.88395,                0.86256,                0.46955,                 1.3997,                0.61768,                  1.334,                 1.5049,                0.65155,                 1.3155,             0.00050124,             0.00050124,             0.00050124
                    304,                0.61211,                0.33388,                0.86294,                0.81387,                0.29867,                 0.8665,                0.85169,                0.90793,                0.86982,                0.46651,                 1.3944,                0.59845,                 1.3337,                 1.4848,                0.63437,                 1.3013,             0.00050053,             0.00050053,             0.00050053
                    305,                0.59091,                0.31735,                0.86084,                0.78661,                0.28064,                0.86715,                 0.8468,                0.87289,                0.84781,                0.46438,                 1.3804,                0.61631,                 1.3215,                 1.4923,                0.63518,                 1.3035,             0.00049982,             0.00049982,             0.00049982
                    306,                0.59394,                0.31612,                0.86962,                0.77014,                0.27073,                0.86747,                0.84879,                0.85383,                0.85738,                0.46777,                 1.3957,                0.60098,                 1.3194,                 1.4978,                0.62248,                 1.2976,             0.00049911,             0.00049911,             0.00049911
                    307,                0.56052,                0.30308,                0.84799,                0.75284,                0.25713,                0.85186,                0.87357,                0.85374,                0.87605,                0.47974,                  1.382,                0.57609,                 1.3165,                 1.4914,                0.59919,                  1.297,             0.00049841,             0.00049841,             0.00049841
                    308,                 0.5927,                   0.32,                0.86459,                 0.7778,                0.26558,                0.86785,                0.86881,                0.88408,                0.88614,                 0.4832,                 1.3703,                0.56827,                 1.3047,                 1.4671,                0.60613,                 1.2797,              0.0004977,              0.0004977,              0.0004977
                    309,                0.59147,                0.31996,                0.86419,                0.79736,                0.27936,                0.86752,                0.88652,                0.88541,                0.88592,                0.48662,                 1.3573,                 0.5754,                 1.2931,                 1.4727,                0.55795,                 1.2824,             0.00049699,             0.00049699,             0.00049699
                    310,                0.55627,                0.30713,                0.84949,                  0.693,                 0.2442,                0.85349,                0.85894,                0.92556,                0.88859,                0.48152,                 1.3651,                0.57343,                 1.2931,                 1.4814,                0.56277,                 1.2841,             0.00049629,             0.00049629,             0.00049629
                    311,                0.56183,                 0.3045,                  0.841,                 0.7493,                0.25811,                0.84268,                0.88441,                0.85854,                0.86681,                0.47187,                 1.3764,                0.59652,                 1.2886,                 1.4814,                0.59675,                  1.282,             0.00049558,             0.00049558,             0.00049558
                    312,                0.57172,                0.31027,                0.84146,                0.80407,                0.27937,                0.84452,                0.85845,                0.89489,                0.87715,                0.47417,                  1.379,                0.59232,                 1.2994,                 1.5045,                0.61007,                  1.289,             0.00049487,             0.00049487,             0.00049487
                    313,                0.60274,                0.32287,                0.85514,                0.80383,                0.28796,                0.86184,                0.87751,                0.85245,                0.87231,                0.47881,                 1.3888,                0.57611,                 1.3112,                 1.5015,                0.58593,                 1.2989,             0.00049417,             0.00049417,             0.00049417
                    314,                0.59297,                0.32511,                 0.8739,                0.76856,                0.29258,                0.86985,                0.85477,                0.84551,                0.85544,                0.46327,                 1.4009,                0.59535,                 1.3266,                 1.5013,                0.61947,                 1.3078,             0.00049346,             0.00049346,             0.00049346
                    315,                0.59513,                0.31411,                0.85968,                0.77629,                0.26015,                0.86103,                0.86434,                0.83554,                0.85211,                0.47245,                 1.3882,                 0.5963,                 1.3318,                 1.5048,                 0.6275,                 1.3123,             0.00049275,             0.00049275,             0.00049275
                    316,                0.58725,                0.31521,                0.86761,                0.77501,                  0.275,                0.85888,                0.86272,                0.85751,                0.86978,                0.47257,                 1.3913,                0.60672,                 1.3294,                 1.4863,                0.64534,                 1.3073,             0.00049205,             0.00049205,             0.00049205
                    317,                0.57971,                0.31374,                0.87024,                0.76468,                0.27018,                0.87128,                0.85194,                0.90327,                0.87198,                 0.4744,                 1.3862,                0.57662,                 1.3285,                 1.4896,                0.60125,                 1.3086,             0.00049134,             0.00049134,             0.00049134
                    318,                0.59053,                0.31185,                0.85065,                0.80055,                0.27565,                0.84914,                0.88385,                0.85973,                0.87419,                0.47841,                  1.376,                0.57719,                 1.3192,                 1.4746,                0.60983,                 1.2923,             0.00049063,             0.00049063,             0.00049063
                    319,                0.57353,                0.30848,                0.84643,                0.77557,                0.27693,                0.85185,                0.86573,                0.86757,                0.87347,                0.47624,                 1.3592,                0.61694,                 1.2986,                 1.4775,                 0.6412,                 1.2927,             0.00048993,             0.00048993,             0.00048993
                    320,                0.61141,                0.32656,                 0.8567,                0.82373,                 0.2904,                0.85519,                  0.862,                0.85189,                0.86588,                0.48245,                 1.3709,                0.57175,                 1.3167,                 1.4669,                0.63262,                 1.3015,             0.00048922,             0.00048922,             0.00048922
                    321,                0.58673,                 0.3264,                0.85971,                0.76204,                0.27749,                0.85879,                0.85044,                0.87761,                0.87646,                0.48715,                 1.3595,                0.57006,                 1.2942,                 1.4522,                0.61245,                 1.2713,             0.00048851,             0.00048851,             0.00048851
                    322,                0.56975,                0.31722,                0.86534,                0.71894,                0.25279,                 0.8702,                0.87227,                0.86578,                0.86408,                0.48127,                 1.3601,                0.57366,                 1.2999,                 1.4531,                0.60906,                 1.2794,              0.0004878,              0.0004878,              0.0004878
                    323,                0.58441,                0.32292,                0.88332,                0.74167,                0.26536,                 0.8827,                0.86266,                 0.8779,                0.86021,                0.47485,                  1.383,                0.57921,                 1.3334,                 1.4731,                0.61903,                 1.3057,              0.0004871,              0.0004871,              0.0004871
                    324,                0.58151,                0.32015,                0.85502,                0.78213,                0.30588,                0.86054,                0.84915,                0.83543,                0.84781,                0.46245,                 1.4033,                0.56977,                 1.3342,                  1.504,                0.59186,                 1.3093,             0.00048639,             0.00048639,             0.00048639
                    325,                0.58506,                0.31282,                0.85027,                0.80329,                0.28348,                0.84767,                0.86708,                0.85291,                0.85719,                0.47313,                 1.3876,                0.57726,                 1.3291,                 1.4812,                0.59517,                 1.3065,             0.00048568,             0.00048568,             0.00048568
                    326,                0.55664,                0.30574,                0.84879,                0.74355,                0.25891,                0.85235,                0.82548,                0.87912,                0.85183,                0.47798,                  1.393,                 0.6031,                  1.329,                  1.491,                0.60598,                 1.3166,             0.00048498,             0.00048498,             0.00048498
                    327,                0.54033,                0.30653,                0.84866,                0.71921,                0.25483,                0.84515,                0.79916,                  0.869,                0.83753,                0.46888,                 1.4167,                0.61223,                 1.3357,                 1.5244,                0.60841,                 1.3354,             0.00048427,             0.00048427,             0.00048427
                    328,                0.54897,                 0.3071,                0.85798,                0.70454,                0.26129,                0.86288,                0.84852,                0.85472,                0.84636,                0.46312,                 1.3958,                0.61054,                 1.3199,                 1.4849,                0.65808,                 1.2995,             0.00048356,             0.00048356,             0.00048356
                    329,                0.54646,                0.29787,                0.84804,                0.69163,                 0.2365,                0.84825,                0.84693,                0.85276,                0.83818,                0.46753,                 1.3906,                0.60776,                 1.3052,                 1.4788,                0.64721,                 1.2919,             0.00048286,             0.00048286,             0.00048286
                    330,                0.59529,                0.31941,                0.84544,                 0.7795,                0.27622,                 0.8443,                0.81969,                0.86621,                0.84099,                0.47519,                 1.3828,                0.60273,                 1.2962,                 1.4908,                0.69165,                 1.2913,             0.00048215,             0.00048215,             0.00048215
                    331,                0.58346,                0.31609,                0.85769,                0.73162,                0.26196,                0.86158,                0.82715,                0.87681,                0.86603,                0.48566,                 1.3878,                0.60139,                  1.312,                 1.4962,                0.59455,                 1.3011,             0.00048144,             0.00048144,             0.00048144
                    332,                 0.5545,                0.30338,                0.84187,                0.76165,                0.26779,                0.84637,                0.82947,                0.88846,                 0.8764,                0.47309,                 1.3995,                0.61198,                 1.3111,                 1.5111,                0.62031,                 1.3107,             0.00048074,             0.00048074,             0.00048074
                    333,                0.59379,                0.31974,                0.85506,                0.74848,                0.26435,                0.86039,                0.82299,                0.86352,                0.84604,                0.47014,                 1.3987,                0.61163,                 1.3136,                 1.4947,                0.63948,                 1.3007,             0.00048003,             0.00048003,             0.00048003
                    334,                0.59008,                 0.3164,                 0.8611,                 0.7744,                0.27307,                0.86066,                0.84123,                0.87617,                0.86805,                   0.47,                 1.3856,                 0.6011,                 1.3038,                 1.4857,                 0.6392,                 1.2963,             0.00047932,             0.00047932,             0.00047932
                    335,                0.52869,                0.29611,                0.83689,                0.72505,                0.25651,                0.83675,                0.83266,                 0.8739,                0.86741,                0.47185,                 1.3917,                 0.5904,                  1.315,                 1.4951,                0.62608,                 1.3052,             0.00047862,             0.00047862,             0.00047862
